Date,Butt 1,Butt 2,Butt 3,Butt 4,,,
06/04/2015,0,0,0,0,,,
08/04/2015,0,4,2,11,,,
10/04/2015,17,30,12,56,,,
13/04/2015,25,74,23,129,,,
15/04/2015,25,91,106,247,,,
17/04/2015,227,268,403,406,,,
20/04/2015,229,232,373,357,,,
22/04/2015,235,137,460,279,,,
24/04/2015,171,209,374,239,,,
27/04/2015,1,12,85,23,,,
29/04/2015,0,10,28,4,,,
01/05/2015,0,6,17,5,,,
04/05/2015,0,1,5,3,,,
06/05/2015,0,0,2,0,,,
08/05/2015,12,39,98,30,,,
11/05/2015,3,18,41,44,,,
13/05/2015,0,7,16,31,,,
15/05/2015,0,1,2,0,,,
18/05/2015,0,0,6,0,,,
20/05/2015,0,0,0,0,,,
22/05/2015,7,6,13,0,,,
26/05/2015,36,10,13,93,,,
27/05/2015,39,17,10,26,,,
29/05/2015,50,19,20,146,,,
01/06/2015,19,9,56,149,,,
03/06/2015,11,3,81,288,,,
05/06/2015,33,12,135,586,,,
08/06/2015,17,20,79,245,,,
10/06/2015,23,21,34,255,,,
12/06/2015,24,12,116,524,,,
15/06/2015,15,9,201,1030,,,
17/06/2015,22,11,260,1585,,,
19/06/2015,11,24,147,1911,,,
22/06/2015,1,6,4,238,,,
24/06/2015,11,17,26,514,,,
26/06/2015,9,7,60,666,,,
29/06/2015,25,11,125,236,,,
01/07/2015,20,7,82,426,,,
03/07/2015,47,7,34,150,,,
06/07/2015,15,7,50,441,,,
09/07/2015,49,2,140,407,,,
13/07/2015,8,1,16,59,,,
16/07/2015,23,9,48,214,,,
20/07/2015,41,19,23,206,,,
22/07/2015,55,14,29,237,,,
24/07/2015,49,9,35,195,,,
27/07/2015,10,1,2,2,,,
29/07/2015,18,1,12,20,,,
31/07/2015,42,13,15,56,,,
03/08/2015,61,15,42,73,,,
05/08/2015,55,12,33,95,,,
07/08/2015,22,7,25,76,,,
10/08/2015,9,19,4,21,,,
12/08/2015,25,9,0,51,,,
14/08/2015,14,1,0,6,,,
17/08/2015,41,2,10,5,,,
19/08/2015,54,9,24,5,,,
21/08/2015,18,0,5,4,,,
24/08/2015,9,1,0,2,,,
26/08/2015,2,0,0,1,,,
28/08/2015,3,1,0,2,,,
01/09/2015,3,1,0,0,,,
04/09/2015,17,0,0,5,,,
07/09/2015,33,1,0,20,,,
09/09/2015,40,1,0,12,,,
11/09/2015,35,0,0,12,,,
14/09/2015,12,0,0,1,,,
16/09/2015,4,0,0,0,,,
18/09/2015,0,0,0,1,,,
21/09/2015,6,0,0,1,,,
23/09/2015,0,0,0,0,,,
25/09/2015,0,0,0,0,,,
28/09/2015,0,0,0,0,,,
30/09/2015,0,0,0,0,,,
02/10/2015,0,0,0,0,,,Note: Lots of leaves + continued presence of L1 suggests these zeros may be 1s or 2s in butts 1 and 2
05/10/2015,0,0,0,0,,,
06/10/2015,NA,NA,NA,NA,,,
07/10/2015,NA,NA,NA,NA,,,
08/10/2015,NA,NA,NA,NA,,,
